,id,isResult,h,a,goals,xG,forecast,year
0,6417,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '0', 'a': '4'}","{'h': '1.19659', 'a': '2.19129'}","{'w': '0.131', 'd': '0.2141', 'l': '0.6549'}",2014
1,6418,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'h': '2', 'a': '3'}","{'h': '1.15656', 'a': '2.15557'}","{'w': '0.1037', 'd': '0.2411', 'l': '0.6552'}",2014
2,6419,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '0', 'a': '4'}","{'h': '0.767575', 'a': '2.48554'}","{'w': '0.0623', 'd': '0.133', 'l': '0.8047'}",2014
3,6420,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'h': '4', 'a': '1'}","{'h': '3.13827', 'a': '0.578158'}","{'w': '0.9202', 'd': '0.0655', 'l': '0.0143'}",2014
4,6421,True,"{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '7', 'a': '3'}","{'h': '4.81401', 'a': '0.600496'}","{'w': '0.9906', 'd': '0.0081', 'l': '0.0013'}",2014
5,6422,True,"{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '2', 'a': '0'}","{'h': '2.04538', 'a': '0.0390915'}","{'w': '0.9043', 'd': '0.0918', 'l': '0.0039'}",2014
6,6423,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '0', 'a': '0'}","{'h': '0.793814', 'a': '0.733761'}","{'w': '0.3275', 'd': '0.3729', 'l': '0.2996'}",2014
7,6424,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '4', 'a': '0'}","{'h': '2.1776', 'a': '0.325138'}","{'w': '0.8545', 'd': '0.1168', 'l': '0.0287'}",2014
8,6425,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '0', 'a': '1'}","{'h': '0.360411', 'a': '0.190173'}","{'w': '0.2573', 'd': '0.6102', 'l': '0.1325'}",2014
9,6426,True,"{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '2', 'a': '2'}","{'h': '2.05495', 'a': '0.382065'}","{'w': '0.8465', 'd': '0.1234', 'l': '0.0301'}",2014
10,6427,True,"{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '0', 'a': '1'}","{'h': '0.435517', 'a': '1.54445'}","{'w': '0.0675', 'd': '0.212', 'l': '0.7205'}",2014
11,6428,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'h': '8', 'a': '1'}","{'h': '5.27931', 'a': '0.971363'}","{'w': '0.9909', 'd': '0.0082', 'l': '0.0009'}",2014
12,6429,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '1', 'a': '1'}","{'h': '0.427576', 'a': '0.695471'}","{'w': '0.1936', 'd': '0.4245', 'l': '0.3819'}",2014
13,6430,True,"{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '1', 'a': '2'}","{'h': '0.470186', 'a': '1.2314'}","{'w': '0.0869', 'd': '0.2608', 'l': '0.6523'}",2014
14,6431,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '1', 'a': '1'}","{'h': '0.537186', 'a': '1.05965'}","{'w': '0.1418', 'd': '0.3182', 'l': '0.54'}",2014
15,6432,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '0', 'a': '2'}","{'h': '0.793735', 'a': '2.19601'}","{'w': '0.0966', 'd': '0.1751', 'l': '0.7283'}",2014
16,6433,True,"{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '1', 'a': '1'}","{'h': '0.954046', 'a': '0.617434'}","{'w': '0.4241', 'd': '0.3598', 'l': '0.2161'}",2014
17,6434,True,"{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'h': '0', 'a': '2'}","{'h': '1.29986', 'a': '1.15316'}","{'w': '0.3854', 'd': '0.3201', 'l': '0.2945'}",2014
18,6435,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '1', 'a': '2'}","{'h': '0.501385', 'a': '1.36352'}","{'w': '0.1116', 'd': '0.2704', 'l': '0.618'}",2014
19,6436,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '0', 'a': '0'}","{'h': '1.25115', 'a': '0.75607'}","{'w': '0.4954', 'd': '0.2998', 'l': '0.2048'}",2014
20,6437,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '1', 'a': '0'}","{'h': '1.16511', 'a': '1.12884'}","{'w': '0.3471', 'd': '0.3156', 'l': '0.3373'}",2014
21,6438,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '2', 'a': '1'}","{'h': '1.13475', 'a': '1.13306'}","{'w': '0.3257', 'd': '0.3382', 'l': '0.3361'}",2014
22,6439,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '4', 'a': '0'}","{'h': '3.24782', 'a': '0.253954'}","{'w': '0.9756', 'd': '0.0206', 'l': '0.0038'}",2014
23,6440,True,"{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'h': '0', 'a': '0'}","{'h': '0.319693', 'a': '0.230331'}","{'w': '0.2337', 'd': '0.6142', 'l': '0.1521'}",2014
24,6441,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'h': '0', 'a': '2'}","{'h': '1.41621', 'a': '1.24904'}","{'w': '0.3939', 'd': '0.324', 'l': '0.2821'}",2014
25,6442,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '1', 'a': '0'}","{'h': '1.89274', 'a': '0.0754628'}","{'w': '0.9019', 'd': '0.0923', 'l': '0.0058'}",2014
26,6443,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '0', 'a': '1'}","{'h': '0.880551', 'a': '1.1632'}","{'w': '0.2211', 'd': '0.3452', 'l': '0.4337'}",2014
27,6444,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'h': '1', 'a': '2'}","{'h': '1.02861', 'a': '2.68242'}","{'w': '0.075', 'd': '0.1466', 'l': '0.7784'}",2014
28,6445,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '1', 'a': '1'}","{'h': '1.32708', 'a': '0.530823'}","{'w': '0.6185', 'd': '0.2695', 'l': '0.112'}",2014
29,6446,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '0', 'a': '2'}","{'h': '1.97411', 'a': '1.05955'}","{'w': '0.6494', 'd': '0.2219', 'l': '0.1287'}",2014
30,6447,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'h': '1', 'a': '0'}","{'h': '0.710709', 'a': '0.172829'}","{'w': '0.4689', 'd': '0.4495', 'l': '0.0816'}",2014
31,6448,True,"{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '1', 'a': '0'}","{'h': '1.15919', 'a': '0.316348'}","{'w': '0.6482', 'd': '0.2812', 'l': '0.0706'}",2014
32,6449,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'h': '3', 'a': '0'}","{'h': '1.62482', 'a': '0.588019'}","{'w': '0.6749', 'd': '0.2304', 'l': '0.0947'}",2014
33,6450,True,"{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '1', 'a': '2'}","{'h': '0.395761', 'a': '2.35689'}","{'w': '0.0217', 'd': '0.1031', 'l': '0.8752'}",2014
34,6451,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '2', 'a': '0'}","{'h': '1.55724', 'a': '0.197221'}","{'w': '0.7662', 'd': '0.1961', 'l': '0.0377'}",2014
35,6452,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '2', 'a': '1'}","{'h': '1.8365', 'a': '1.60649'}","{'w': '0.4292', 'd': '0.2751', 'l': '0.2957'}",2014
36,6453,True,"{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'h': '2', 'a': '0'}","{'h': '3.66586', 'a': '0.220406'}","{'w': '0.9821', 'd': '0.0161', 'l': '0.0018'}",2014
37,6454,True,"{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '0', 'a': '3'}","{'h': '0.850627', 'a': '0.909639'}","{'w': '0.3125', 'd': '0.3405', 'l': '0.347'}",2014
38,6455,True,"{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '2', 'a': '1'}","{'h': '0.797377', 'a': '1.801'}","{'w': '0.1183', 'd': '0.2346', 'l': '0.6471'}",2014
39,6456,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'h': '2', 'a': '1'}","{'h': '0.842692', 'a': '0.795556'}","{'w': '0.3198', 'd': '0.3626', 'l': '0.3176'}",2014
40,6457,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '0', 'a': '1'}","{'h': '0.847584', 'a': '1.15159'}","{'w': '0.2665', 'd': '0.3258', 'l': '0.4077'}",2014
41,6458,True,"{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'h': '1', 'a': '0'}","{'h': '1.12186', 'a': '2.44006'}","{'w': '0.1252', 'd': '0.1865', 'l': '0.6883'}",2014
42,6459,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '2', 'a': '0'}","{'h': '1.4545', 'a': '0.848683'}","{'w': '0.5552', 'd': '0.2916', 'l': '0.1532'}",2014
43,6460,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'h': '0', 'a': '1'}","{'h': '0.946525', 'a': '1.4656'}","{'w': '0.1541', 'd': '0.3566', 'l': '0.4893'}",2014
44,6461,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '6', 'a': '0'}","{'h': '3.60484', 'a': '0.209485'}","{'w': '0.9847', 'd': '0.0137', 'l': '0.0016'}",2014
45,6462,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '1', 'a': '1'}","{'h': '1.7471', 'a': '0.591905'}","{'w': '0.6796', 'd': '0.2327', 'l': '0.0877'}",2014
46,6463,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '0', 'a': '1'}","{'h': '0.712147', 'a': '1.15499'}","{'w': '0.2187', 'd': '0.3326', 'l': '0.4487'}",2014
47,6464,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'h': '0', 'a': '2'}","{'h': '0.891462', 'a': '1.1706'}","{'w': '0.2778', 'd': '0.3034', 'l': '0.4188'}",2014
48,6393,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'h': '2', 'a': '1'}","{'h': '1.81451', 'a': '0.305538'}","{'w': '0.8216', 'd': '0.1459', 'l': '0.0325'}",2014
49,6394,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'h': '1', 'a': '1'}","{'h': '1.80768', 'a': '0.413487'}","{'w': '0.7729', 'd': '0.1713', 'l': '0.0558'}",2014
50,6395,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'h': '3', 'a': '2'}","{'h': '1.21353', 'a': '0.577028'}","{'w': '0.5403', 'd': '0.3019', 'l': '0.1578'}",2014
51,6396,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '1', 'a': '2'}","{'h': '0.656702', 'a': '1.55467'}","{'w': '0.1306', 'd': '0.2606', 'l': '0.6088'}",2014
52,6397,True,"{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'h': '3', 'a': '1'}","{'h': '2.58205', 'a': '0.696589'}","{'w': '0.8154', 'd': '0.1257', 'l': '0.0589'}",2014
53,6398,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '0', 'a': '2'}","{'h': '2.0646', 'a': '0.284849'}","{'w': '0.8631', 'd': '0.1138', 'l': '0.0231'}",2014
54,6399,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'h': '2', 'a': '1'}","{'h': '2.41613', 'a': '0.264105'}","{'w': '0.9344', 'd': '0.0564', 'l': '0.0092'}",2014
55,6400,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'h': '0', 'a': '0'}","{'h': '0.349373', 'a': '0.129176'}","{'w': '0.2662', 'd': '0.6432', 'l': '0.0906'}",2014
56,6401,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'h': '0', 'a': '1'}","{'h': '0.482912', 'a': '0.288387'}","{'w': '0.299', 'd': '0.5349', 'l': '0.1661'}",2014
57,6402,True,"{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'h': '0', 'a': '1'}","{'h': '0.486007', 'a': '2.49365'}","{'w': '0.027', 'd': '0.0987', 'l': '0.8743'}",2014
58,6403,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '0', 'a': '5'}","{'h': '0.557971', 'a': '3.06547'}","{'w': '0.0191', 'd': '0.0673', 'l': '0.9136'}",2014
59,6404,True,"{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '2', 'a': '1'}","{'h': '0.510216', 'a': '0.522582'}","{'w': '0.261', 'd': '0.4558', 'l': '0.2832'}",2014
60,6405,True,"{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '1', 'a': '1'}","{'h': '0.903857', 'a': '0.691701'}","{'w': '0.3787', 'd': '0.3538', 'l': '0.2675'}",2014
61,6406,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '1', 'a': '0'}","{'h': '1.606', 'a': '0.614898'}","{'w': '0.6451', 'd': '0.245', 'l': '0.1099'}",2014
62,6407,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '1', 'a': '2'}","{'h': '1.03792', 'a': '1.72432'}","{'w': '0.1685', 'd': '0.275', 'l': '0.5565'}",2014
63,6408,True,"{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'h': '1', 'a': '3'}","{'h': '1.24553', 'a': '2.31253'}","{'w': '0.1655', 'd': '0.2008', 'l': '0.6337'}",2014
64,6409,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '3', 'a': '4'}","{'h': '1.84161', 'a': '2.79568'}","{'w': '0.1787', 'd': '0.2177', 'l': '0.6036'}",2014
65,6410,True,"{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '0', 'a': '2'}","{'h': '0.462631', 'a': '1.22752'}","{'w': '0.1037', 'd': '0.2785', 'l': '0.6178'}",2014
66,6411,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '0', 'a': '0'}","{'h': '0.536108', 'a': '0.740547'}","{'w': '0.2302', 'd': '0.3873', 'l': '0.3825'}",2014
67,6412,True,"{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'h': '2', 'a': '2'}","{'h': '1.76612', 'a': '1.59429'}","{'w': '0.4169', 'd': '0.2659', 'l': '0.3172'}",2014
68,6413,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '3', 'a': '1'}","{'h': '2.01062', 'a': '0.242173'}","{'w': '0.8804', 'd': '0.1007', 'l': '0.0189'}",2014
69,6414,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'h': '3', 'a': '0'}","{'h': '2.92143', 'a': '0.154675'}","{'w': '0.9819', 'd': '0.0169', 'l': '0.0012'}",2014
70,6415,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '2', 'a': '1'}","{'h': '2.06991', 'a': '1.42324'}","{'w': '0.5424', 'd': '0.266', 'l': '0.1916'}",2014
71,6416,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'h': '2', 'a': '1'}","{'h': '2.01272', 'a': '1.2886'}","{'w': '0.5563', 'd': '0.2626', 'l': '0.1811'}",2014
72,6377,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'h': '6', 'a': '0'}","{'h': '4.48407', 'a': '0.866784'}","{'w': '0.976', 'd': '0.0199', 'l': '0.0041'}",2014
73,6378,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '2', 'a': '2'}","{'h': '1.12732', 'a': '1.05008'}","{'w': '0.3488', 'd': '0.3361', 'l': '0.3151'}",2014
74,6379,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '2', 'a': '1'}","{'h': '1.19945', 'a': '0.833496'}","{'w': '0.4876', 'd': '0.3089', 'l': '0.2035'}",2014
75,6380,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '2', 'a': '0'}","{'h': '1.39345', 'a': '0.424541'}","{'w': '0.674', 'd': '0.2452', 'l': '0.0808'}",2014
76,6381,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '1', 'a': '1'}","{'h': '0.686991', 'a': '1.79059'}","{'w': '0.1049', 'd': '0.2085', 'l': '0.6866'}",2014
77,6382,True,"{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'h': '1', 'a': '1'}","{'h': '0.775502', 'a': '0.832131'}","{'w': '0.2959', 'd': '0.3711', 'l': '0.333'}",2014
78,6383,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'h': '5', 'a': '0'}","{'h': '3.01519', 'a': '0.151665'}","{'w': '0.9664', 'd': '0.0291', 'l': '0.0045'}",2014
79,6384,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'h': '1', 'a': '0'}","{'h': '1.17996', 'a': '0.304752'}","{'w': '0.6274', 'd': '0.2882', 'l': '0.0844'}",2014
80,6385,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '2', 'a': '0'}","{'h': '1.56669', 'a': '0.7988'}","{'w': '0.6001', 'd': '0.293', 'l': '0.1069'}",2014
81,6386,True,"{'id': '211', 'title': 'Torpedo Moscow', 'short_title': 'TOR'}","{'id': '197', 'title': 'Kuban Krasnodar', 'short_title': 'KUB'}","{'h': '0', 'a': '0'}","{'h': '0.432787', 'a': '0.838109'}","{'w': '0.1612', 'd': '0.3903', 'l': '0.4485'}",2014
82,6387,True,"{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '1', 'a': '1'}","{'h': '0.73552', 'a': '0.585647'}","{'w': '0.3553', 'd': '0.3946', 'l': '0.2501'}",2014
83,6388,True,"{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '3', 'a': '3'}","{'h': '2.29967', 'a': '3.15643'}","{'w': '0.1517', 'd': '0.2474', 'l': '0.6009'}",2014
84,6389,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'h': '5', 'a': '0'}","{'h': '3.18505', 'a': '0.651493'}","{'w': '0.9266', 'd': '0.0601', 'l': '0.0133'}",2014
85,6390,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '2', 'a': '0'}","{'h': '1.88925', 'a': '0.437514'}","{'w': '0.8124', 'd': '0.1444', 'l': '0.0432'}",2014
86,6391,True,"{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '0', 'a': '2'}","{'h': '0.694359', 'a': '1.96237'}","{'w': '0.095', 'd': '0.1869', 'l': '0.7181'}",2014
87,6392,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'h': '1', 'a': '0'}","{'h': '0.635947', 'a': '0.746791'}","{'w': '0.2668', 'd': '0.3809', 'l': '0.3523'}",2014
88,6346,True,"{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'h': '0', 'a': '1'}","{'h': '0.616726', 'a': '1.77423'}","{'w': '0.0618', 'd': '0.1884', 'l': '0.7498'}",2014
89,6347,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '190', 'title': 'Dinamo Moscow', 'short_title': 'DIN'}","{'h': '4', 'a': '2'}","{'h': '2.95174', 'a': '1.00497'}","{'w': '0.8448', 'd': '0.1128', 'l': '0.0424'}",2014
90,6348,True,"{'id': '191', 'title': 'Mordovya', 'short_title': 'MOR'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '2', 'a': '1'}","{'h': '1.27157', 'a': '0.585072'}","{'w': '0.5895', 'd': '0.2799', 'l': '0.1306'}",2014
