,id,isResult,h,a,goals,xG,forecast,year
12,2601,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'h': '2', 'a': '2'}","{'h': '2.63734', 'a': '0.499815'}","{'w': '0.9051', 'd': '0.0765', 'l': '0.0184'}",2016
13,2602,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'h': '0', 'a': '0'}","{'h': '0.608329', 'a': '0.357706'}","{'w': '0.3651', 'd': '0.4617', 'l': '0.1732'}",2016
14,2603,True,"{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '4', 'a': '0'}","{'h': '1.78248', 'a': '0.381362'}","{'w': '0.82', 'd': '0.1469', 'l': '0.0331'}",2016
15,2604,True,"{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'h': '1', 'a': '0'}","{'h': '2.29214', 'a': '0.212558'}","{'w': '0.9121', 'd': '0.0767', 'l': '0.0112'}",2016
16,2605,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'h': '3', 'a': '2'}","{'h': '1.52554', 'a': '1.63295'}","{'w': '0.2749', 'd': '0.3475', 'l': '0.3776'}",2016
17,2606,True,"{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '0', 'a': '1'}","{'h': '0.245084', 'a': '0.762471'}","{'w': '0.1167', 'd': '0.4282', 'l': '0.4551'}",2016
18,2607,True,"{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '1', 'a': '1'}","{'h': '0.729801', 'a': '0.665069'}","{'w': '0.3371', 'd': '0.3867', 'l': '0.2762'}",2016
19,2608,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'h': '1', 'a': '1'}","{'h': '0.824549', 'a': '0.436448'}","{'w': '0.4442', 'd': '0.3803', 'l': '0.1755'}",2016
20,2609,True,"{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '1', 'a': '0'}","{'h': '0.523871', 'a': '0.444804'}","{'w': '0.2951', 'd': '0.4735', 'l': '0.2314'}",2016
21,2610,True,"{'id': '193', 'title': 'Anzhi Makhachkala', 'short_title': 'ANZ'}","{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'h': '1', 'a': '0'}","{'h': '0.574041', 'a': '1.02833'}","{'w': '0.1558', 'd': '0.3299', 'l': '0.5143'}",2016
